Ticket ID;Date;Fixed Commits;Affected Versions
SYNCOPE-1663;2022-02-05;2;2
SYNCOPE-1660;2022-01-27;1;2
SYNCOPE-1659;2022-01-20;1;2
SYNCOPE-1657;2022-01-17;1;2
SYNCOPE-1656;2022-01-12;2;2
SYNCOPE-1654;2021-11-29;1;2
SYNCOPE-1651;2021-11-24;1;2
SYNCOPE-1650;2021-11-12;1;2
SYNCOPE-1649;2021-11-10;1;2
SYNCOPE-1648;2021-11-05;1;2
SYNCOPE-1644;2021-09-28;2;2
SYNCOPE-1643;2021-09-17;1;2
SYNCOPE-1640;2021-08-12;1;3
SYNCOPE-1635;2021-05-20;1;3
SYNCOPE-1634;2021-05-18;1;3
SYNCOPE-1629;2021-04-15;2;2
SYNCOPE-1628;2021-04-14;2;3
SYNCOPE-1626;2021-04-02;1;4
SYNCOPE-1622;2021-03-17;1;3
SYNCOPE-1620;2021-03-04;1;3
SYNCOPE-1619;2021-02-26;2;2
SYNCOPE-1616;2021-02-05;1;3
SYNCOPE-1613;2021-01-26;1;2
SYNCOPE-1612;2021-01-25;2;1
SYNCOPE-1607;2021-01-08;1;3
SYNCOPE-1606;2020-12-22;1;2
SYNCOPE-1605;2020-12-01;1;3
SYNCOPE-1604;2020-11-24;1;2
SYNCOPE-1603;2020-11-19;1;2
SYNCOPE-1602;2020-11-18;1;2
SYNCOPE-1601;2020-11-17;1;2
SYNCOPE-1598;2020-11-05;1;3
SYNCOPE-1586;2020-09-08;1;2
SYNCOPE-1583;2020-07-21;1;3
SYNCOPE-1573;2020-06-30;1;3
SYNCOPE-1569;2020-06-11;1;2
